Cycle,Expected,Actual,PassFail,Coverage,DeltaCov,Time
1,14,15,FAIL,3.12,3.12,15000
2,14,14,PASS,56.25,53.12,25000
3,13,13,PASS,59.38,3.12,35000
4,12,12,PASS,62.50,3.12,45000
5,11,11,PASS,65.62,3.12,55000
6,10,10,PASS,68.75,3.12,65000
7,9,9,PASS,71.88,3.12,75000
8,8,8,PASS,75.00,3.12,85000
9,7,7,PASS,78.12,3.12,95000
10,6,6,PASS,81.25,3.12,105000
11,5,5,PASS,84.38,3.12,115000
12,4,4,PASS,87.50,3.12,125000
13,3,3,PASS,90.62,3.12,135000
14,2,2,PASS,93.75,3.12,145000
15,1,1,PASS,96.88,3.12,155000
16,0,0,PASS,100.00,3.12,165000
17,15,15,PASS,100.00,0.00,175000
18,14,14,PASS,100.00,0.00,185000
19,13,13,PASS,100.00,0.00,195000
20,12,12,PASS,100.00,0.00,205000
21,11,11,PASS,100.00,0.00,215000
22,10,10,PASS,100.00,0.00,225000
23,9,9,PASS,100.00,0.00,235000
24,8,8,PASS,100.00,0.00,245000
25,7,7,PASS,100.00,0.00,255000
26,6,6,PASS,100.00,0.00,265000
27,5,5,PASS,100.00,0.00,275000
28,4,4,PASS,100.00,0.00,285000
29,3,3,PASS,100.00,0.00,295000
30,2,2,PASS,100.00,0.00,305000
31,1,1,PASS,100.00,0.00,315000
32,0,0,PASS,100.00,0.00,325000
33,15,15,PASS,100.00,0.00,335000
34,14,14,PASS,100.00,0.00,345000
35,13,13,PASS,100.00,0.00,355000
36,12,12,PASS,100.00,0.00,365000
37,11,11,PASS,100.00,0.00,375000
38,10,10,PASS,100.00,0.00,385000
39,9,9,PASS,100.00,0.00,395000
40,8,8,PASS,100.00,0.00,405000
41,7,7,PASS,100.00,0.00,415000
42,6,6,PASS,100.00,0.00,425000
43,5,5,PASS,100.00,0.00,435000
44,4,4,PASS,100.00,0.00,445000
45,3,3,PASS,100.00,0.00,455000
46,2,2,PASS,100.00,0.00,465000
47,1,1,PASS,100.00,0.00,475000
48,0,0,PASS,100.00,0.00,485000
49,15,15,PASS,100.00,0.00,495000
50,14,14,PASS,100.00,0.00,505000
