TestID,A,B,Expected,Actual,Status,Coverage(%)
1,0,0,0,0,PASS,31.94
2,1,1,2,2,PASS,31.94
3,255,0,255,255,PASS,55.56
4,255,255,510,510,PASS,66.67
5,81,205,286,286,PASS,77.78
6,14,219,233,233,PASS,80.56
7,113,99,212,212,PASS,91.67
8,233,152,385,385,PASS,91.67
9,3,164,167,167,PASS,91.67
10,167,69,236,236,PASS,94.44
11,0,79,79,79,PASS,97.22
12,62,231,293,293,PASS,97.22
13,216,49,265,265,PASS,97.22
14,139,7,146,146,PASS,97.22
15,161,21,182,182,PASS,97.22
16,230,128,358,358,PASS,97.22
17,1,114,115,115,PASS,97.22
18,200,220,420,420,PASS,97.22
19,215,169,384,384,PASS,97.22
20,204,124,328,328,PASS,97.22
21,232,103,335,335,PASS,97.22
22,135,223,358,358,PASS,97.22
23,99,210,309,309,PASS,97.22
24,167,65,232,232,PASS,97.22
25,153,184,337,337,PASS,97.22
26,133,33,166,166,PASS,97.22
27,228,103,331,331,PASS,97.22
28,10,73,83,83,PASS,97.22
29,178,204,382,382,PASS,97.22
30,36,158,194,194,PASS,97.22
31,13,250,263,263,PASS,97.22
32,210,219,429,429,PASS,97.22
33,76,137,213,213,PASS,97.22
34,138,215,353,353,PASS,97.22
35,12,247,259,259,PASS,97.22
36,113,91,204,204,PASS,97.22
37,4,216,220,220,PASS,97.22
38,61,128,189,189,PASS,97.22
39,39,212,251,251,PASS,97.22
40,2,90,92,92,PASS,97.22
41,183,198,381,381,PASS,97.22
42,61,238,299,299,PASS,97.22
43,21,205,226,226,PASS,97.22
44,198,6,204,204,PASS,97.22
45,144,117,261,261,PASS,97.22
46,13,105,118,118,PASS,97.22
47,199,231,430,430,PASS,97.22
48,152,138,290,290,PASS,97.22
49,242,202,444,444,PASS,97.22
50,37,73,110,110,PASS,97.22
51,215,168,383,383,PASS,97.22
52,155,101,256,256,PASS,97.22
53,93,148,241,241,PASS,97.22
54,95,106,201,201,PASS,97.22
55,59,212,271,271,PASS,97.22
56,234,83,317,317,PASS,97.22
57,187,220,407,407,PASS,97.22
58,55,161,216,216,PASS,97.22
59,245,22,267,267,PASS,97.22
60,155,180,335,335,PASS,97.22
61,153,10,163,163,PASS,97.22
62,6,204,210,210,PASS,97.22
63,221,11,232,232,PASS,97.22
64,133,138,271,271,PASS,97.22
65,221,212,433,433,PASS,97.22
66,253,147,400,400,PASS,97.22
67,201,3,204,204,PASS,97.22
68,244,170,414,414,PASS,97.22
69,132,114,246,246,PASS,97.22
70,47,148,195,195,PASS,97.22
71,75,89,164,164,PASS,97.22
72,95,168,263,263,PASS,97.22
73,158,76,234,234,PASS,97.22
74,161,26,187,187,PASS,97.22
75,234,233,467,467,PASS,97.22
76,218,162,380,380,PASS,97.22
77,102,17,119,119,PASS,100.00
78,118,0,118,118,PASS,100.00
79,196,106,302,302,PASS,100.00
80,255,212,467,467,PASS,100.00
81,115,1,116,116,PASS,100.00
82,96,138,234,234,PASS,100.00
83,105,38,143,143,PASS,100.00
84,216,68,284,284,PASS,100.00
85,221,232,453,453,PASS,100.00
86,140,190,330,330,PASS,100.00
87,181,64,245,245,PASS,100.00
88,172,95,267,267,PASS,100.00
89,87,57,144,144,PASS,100.00
90,158,249,407,407,PASS,100.00
91,39,87,126,126,PASS,100.00
92,95,245,340,340,PASS,100.00
93,200,242,442,442,PASS,100.00
94,170,81,251,251,PASS,100.00
95,169,78,247,247,PASS,100.00
96,147,23,170,170,PASS,100.00
97,29,21,50,50,PASS,100.00
98,243,31,274,274,PASS,100.00
99,126,144,270,270,PASS,100.00
100,203,94,297,297,PASS,100.00
